 18-03-18,00:00:31,Ch6,T. OVER
 18-03-18,00:01:31,Ch6,T. OVER
 18-03-18,00:02:31,Ch6,T. OVER
 18-03-18,00:03:31,Ch6,T. OVER
 18-03-18,00:04:31,Ch6,T. OVER
 18-03-18,00:05:31,Ch6,T. OVER
 18-03-18,00:06:31,Ch6,T. OVER
 18-03-18,00:07:31,Ch6,T. OVER
 18-03-18,00:08:31,Ch6,T. OVER
 18-03-18,00:09:31,Ch6,T. OVER
 18-03-18,00:10:32,Ch6,T. OVER
 18-03-18,00:11:32,Ch6,T. OVER
 18-03-18,00:12:32,Ch6,T. OVER
 18-03-18,00:13:32,Ch6,T. OVER
 18-03-18,00:14:32,Ch6,T. OVER
 18-03-18,00:15:32,Ch6,T. OVER
 18-03-18,00:16:32,Ch6,T. OVER
 18-03-18,00:17:32,Ch6,T. OVER
 18-03-18,00:18:32,Ch6,T. OVER
 18-03-18,00:19:32,Ch6,T. OVER
 18-03-18,00:20:32,Ch6,T. OVER
 18-03-18,00:21:32,Ch6,T. OVER
 18-03-18,00:22:32,Ch6,T. OVER
 18-03-18,00:23:32,Ch6,T. OVER
 18-03-18,00:24:32,Ch6,T. OVER
 18-03-18,00:25:33,Ch6,T. OVER
 18-03-18,00:26:33,Ch6,T. OVER
 18-03-18,00:27:33,Ch6,T. OVER
 18-03-18,00:28:33,Ch6,T. OVER
 18-03-18,00:29:33,Ch6,T. OVER
 18-03-18,00:30:33,Ch6,T. OVER
 18-03-18,00:31:33,Ch6,T. OVER
 18-03-18,00:32:33,Ch6,T. OVER
 18-03-18,00:33:33,Ch6,T. OVER
 18-03-18,00:34:33,Ch6,T. OVER
 18-03-18,00:35:33,Ch6,T. OVER
 18-03-18,00:36:33,Ch6,T. OVER
 18-03-18,00:37:33,Ch6,T. OVER
 18-03-18,00:38:34,Ch6,T. OVER
 18-03-18,00:39:34,Ch6,T. OVER
 18-03-18,00:40:34,Ch6,T. OVER
 18-03-18,00:41:34,Ch6,T. OVER
 18-03-18,00:42:34,Ch6,T. OVER
 18-03-18,00:43:34,Ch6,T. OVER
 18-03-18,00:44:34,Ch6,T. OVER
 18-03-18,00:45:34,Ch6,T. OVER
 18-03-18,00:46:34,Ch6,T. OVER
 18-03-18,00:47:34,Ch6,T. OVER
 18-03-18,00:48:34,Ch6,T. OVER
 18-03-18,00:49:35,Ch6,T. OVER
 18-03-18,00:50:35,Ch6,T. OVER
 18-03-18,00:51:35,Ch6,T. OVER
 18-03-18,00:52:35,Ch6,T. OVER
 18-03-18,00:53:35,Ch6,T. OVER
 18-03-18,00:54:35,Ch6,T. OVER
 18-03-18,00:55:35,Ch6,T. OVER
 18-03-18,00:56:35,Ch6,T. OVER
 18-03-18,00:57:35,Ch6,T. OVER
 18-03-18,00:58:35,Ch6,T. OVER
 18-03-18,00:59:35,Ch6,T. OVER
 18-03-18,01:00:35,Ch6,T. OVER
 18-03-18,01:01:35,Ch6,T. OVER
 18-03-18,01:02:35,Ch6,T. OVER
 18-03-18,01:03:36,Ch6,T. OVER
 18-03-18,01:04:36,Ch6,T. OVER
 18-03-18,01:05:36,Ch6,T. OVER
 18-03-18,01:06:36,Ch6,T. OVER
